Correr 12 min      Metros;"Exercícios 
de Apoio   Repetições";"Exercícios 
na Barra   Repetições";"Abdominal 
Carl-Up      Repetições";"Abdominal 
remador      Repetições";Faixa etária Até 25;Faixa etária 26 a 30;Faixa etária   31 a 35;Faixa etária    36 a 40;Faixa etária    41 a 45;Faixa etária     46 a 50;Faixa etária    Acima de 51
700;;;1;1;0;0;0;0;0;0;1
750;;;3;3;0;0;0;0;0;0;2
800;;;4;4;0;0;0;0;0;1;2
850;;;5;5;0;0;0;0;0;2;3
900;;;6;6;0;0;0;0;0;2;3
950;;;7;7;0;0;0;0;0;3;4
1.000;;;8;8;0;0;0;0;1;3;4
1.050;1;;9;9;0;0;0;0;2;4;5
1.100;2;;10;10;0;0;0;1;2;4;5
1.150;3;;11;11;0;0;0;2;3;5;6
1.200;4;;12;12;0;0;1;2;3;5;6
1.250;5;;13;13;0;1;2;3;4;6;7
1.300;6;;14;14;1;2;2;3;4;6;7
1.350;7;;15;15;2;2;3;4;5;7;8
1.400;8;;16;16;2;3;3;4;5;7;8
1.450;9;;17;17;3;3;4;5;6;8;9
1.500;10;;18;18;3;4;4;5;6;8;9
1.550;11;;19;19;4;4;5;6;7;9;10
1.600;12;;20;20;4;5;5;6;7;9;10
1.650;13;;21;21;5;5;6;7;8;10;10
1.700;14;;22;22;5;6;6;7;8;10;10
1.750;15;;23;23;6;6;7;8;9;10;10
1.800;16;;24;24;6;7;7;8;9;10;10
1.850;17;;25;25;7;7;8;9;10;10;10
1.900;18;;26;26;7;8;8;9;10;10;10
1.900;18;;27;27;7;8;8;9;10;10;10
1.950;19;;28;28;8;8;9;10;10;10;10
1.950;19;;29;29;8;8;9;10;10;10;10
2.000;20;;30;30;8;9;9;10;10;10;10
2.000;20;;31;31;8;9;9;10;10;10;10
2.000;20;;32;32;8;9;9;10;10;10;10
2.000;20;;33;33;8;9;9;10;10;10;10
2.050;21;;34;34;9;9;10;10;10;10;10
2.050;21;;35;35;9;9;10;10;10;10;10
2.100;22;;36;36;9;10;10;10;10;10;10
2.150;23;;37;37;10;10;10;10;10;10;10
2.200;24;;38;38;10;10;10;10;10;10;10
