Correr 12 min      Metros;"Exercícios 
de Apoio   Repetições";"Exercícios 
na Barra   Repetições";"Abdominal 
Carl-Up      Repetições";"Abdominal 
remador      Repetições";Faixa etária Até 25;Faixa etária 26 a 30;Faixa etária   31 a 35;Faixa etária    36 a 40;Faixa etária    41 a 45;Faixa etária     46 a 50;Faixa etária    Acima de 51
1000;;;1;1;0;0;0;0;0;0;1
1100;;;2;2;0;0;0;0;0;0;2
1200;;;3;3;0;0;0;0;0;1;2
1250;;;4;4;0;0;0;0;0;2;3
1300;;;5;5;0;0;0;0;0;2;3
1350;;;6;6;0;0;0;0;0;3;4
1400;;;7;7;0;0;0;0;1;3;4
1450;;;8;8;0;0;0;0;2;4;5
1500;1;;9;9;0;0;0;1;2;4;5
1550;2;;10;10;0;0;0;2;3;5;6
1600;3;;11;11;0;0;0;2;3;5;6
1650;4;;12;12;0;0;0;3;4;6;7
1700;5;;13;13;0;0;1;3;4;6;7
1750;6;;14;14;0;0;2;4;5;7;8
1800;7;;15;15;0;1;2;4;5;7;8
1850;8;;16;16;0;2;3;5;6;8;9
1900;9;;17;17;1;2;3;5;6;8;9
1950;10;;18;18;2;3;4;6;7;9;10
2000;11;1;19;19;2;3;4;6;7;9;10
2050;12;1;20;20;3;4;5;7;8;10;10
2050;12;1;21;21;3;4;5;7;8;10;10
2100;13;1;22;22;3;4;5;7;8;10;10
2100;13;1;23;23;3;4;5;7;8;10;10
2150;14;1;24;24;4;5;6;8;9;10;10
2150;14;1;25;25;4;5;6;8;9;10;10
2200;15;1;26;26;4;5;6;8;9;10;10
2200;15;1;27;27;4;5;6;8;9;10;10
2250;16;1;28;28;5;6;7;9;10;10;10
2250;16;1;29;29;5;6;7;9;10;10;10
2250;16;1;30;30;5;6;7;9;10;10;10
2300;17;2;31;31;5;6;7;9;10;10;10
2300;17;2;32;32;5;6;7;9;10;10;10
2350;18;3;33;33;6;7;8;10;10;10;10
2350;18;3;34;34;6;7;8;10;10;10;10
2400;19;4;35;35;6;7;8;10;10;10;10
2400;19;4;36;36;6;7;8;10;10;10;10
2450;20;5;37;37;7;8;9;10;10;10;10
2450;20;5;38;38;7;8;9;10;10;10;10
2500;21;6;39;39;7;8;9;10;10;10;10
2500;21;6;40;40;7;8;9;10;10;10;10
2550;22;7;41;41;8;9;10;10;10;10;10
2550;22;7;42;42;8;9;10;10;10;10;10
2600;23;8;43;43;8;9;10;10;10;10;10
2600;23;8;44;44;8;9;10;10;10;10;10
2650;24;9;45;45;9;10;10;10;10;10;10
2650;24;9;46;46;9;10;10;10;10;10;10
2700;26;10;47;47;9;10;10;10;10;10;10
2750;27;11;48;48;10;10;10;10;10;10;10
2800;28;12;49;49;10;10;10;10;10;10;10
